libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Saint-Fiacre-sur-Maine,Vertou,1164,"5,97",Centre,"11,57",MACRON,MÉLENCHON,FILLON,MACRON,"82,8",des vignes
Saint-Géréon,Ancenis,2893,"7,51",Centre,"12,57",MACRON,FILLON,MÉLENCHON,MACRON,"78,44",du château d'Ancenis
Saint-Gildas-des-Bois,Pont-Château,3751,"33,42",Droite,"13,28",MACRON,LE PEN,FILLON,MACRON,"66,82",de la vache Nantaise
Saint-Herblain,Saint-Herblain,45786,"30,02",Centre,"19,05",MACRON,MÉLENCHON,FILLON,MACRON,"81,64",du bac du Pellerin
Vair-sur-Loire,Ancenis,4764,"51,73",Droite,"13,43",MACRON,LE PEN,FILLON,MACRON,"68,88",du château d'Ancenis
Saint-Hilaire-de-Chaléons,Machecoul,2235,"34,98",Centre,"15,26",MACRON,MÉLENCHON,FILLON,MACRON,"69,51",de la forêt de Machecoul
Saint-Hilaire-de-Clisson,Clisson,2222,"18,43",Centre,"11,46",MACRON,MÉLENCHON,FILLON,MACRON,"76,71",du Hellfest
Saint-Jean-de-Boiseau,Saint-Brévin-les-Pins,5566,"11,4",Gauche,"13,72",MÉLENCHON,MACRON,LE PEN,MACRON,"75,17",du voilier
Saint-Joachim,Guérande,3934,"86,22",Gauche,"18,5",MÉLENCHON,MACRON,LE PEN,MACRON,"60,88",du sel de Guérande
Saint-Julien-de-Concelles,Vallet,6860,"31,74",Centre,"14,32",MACRON,FILLON,MÉLENCHON,MACRON,"78,92",du zoo de La Boissière-du-Doré
Saint-Julien-de-Vouvantes,Châteaubriant,968,"25,6",Droite,"14,33",FILLON,LE PEN,MACRON,MACRON,"53,28",de la carrière des fusillés
Saint-Léger-les-Vignes,Rezé,1708,"6,49",Centre,"9,63",MACRON,MÉLENCHON,FILLON,MACRON,"74,7",de l'aéroport
Sainte-Luce-sur-Loire,Carquefou,15172,"11,45",Centre,"11,54",MACRON,MÉLENCHON,FILLON,MACRON,"82,73",du stade de la Beaujoire
Saint-Lumine-de-Clisson,Clisson,2118,"18,46",Centre,"13,96",MACRON,MÉLENCHON,FILLON,MACRON,"73,45",du Hellfest
Saint-Lumine-de-Coutais,Saint-Philbert-de-Grand-Lieu,2114,"17,64",Droite,"12,38",LE PEN,MACRON,FILLON,MACRON,"61,87",des vignes
Saint-Lyphard,Guérande,4627,"24,63",Centre,"10,84",MACRON,FILLON,MÉLENCHON,MACRON,"67,13",du sel de Guérande
Saint-Malo-de-Guersac,Saint-Nazaire,3181,"14,62",Gauche,"16,47",MÉLENCHON,MACRON,LE PEN,MACRON,"65,55",du paquebot
Saint-Mars-de-Coutais,Machecoul,2627,"34,67",Centre,"15,9",MACRON,MÉLENCHON,LE PEN,MACRON,"70,81",de la forêt de Machecoul
Saint-Mars-du-Désert,Nort-sur-Erdre,4721,"30,46",Centre,"14,24",MACRON,FILLON,MÉLENCHON,MACRON,"71,97",de la Nuit de L'Erdre
Saint-Mars-la-Jaille,Ancenis,2400,"20,06",Droite,"18,07",LE PEN,FILLON,MACRON,MACRON,"59,77",du château d'Ancenis
Saint-Michel-Chef-Chef,Pornic,4642,"25,12",Droite,"15,48",MACRON,FILLON,LE PEN,MACRON,"67,73",du voilier
Saint-Molf,Guérande,2499,"22,82",Gauche,"14,85",MÉLENCHON,MACRON,LE PEN,MACRON,"63,99",du sel de Guérande
Saint-Nazaire,Saint-Nazaire,69784,"46,79",Centre,"22,29",MACRON,MÉLENCHON,FILLON,MACRON,"77,15",du paquebot
Saint-Nicolas-de-Redon,Pont-Château,3157,"22,32",Centre,"16,23",MACRON,MÉLENCHON,FILLON,MACRON,"69,41",de la vache Nantaise
Sainte-Pazanne,Machecoul,6547,"41,56",Centre,"12,09",MACRON,MÉLENCHON,FILLON,MACRON,"74,91",de la forêt de Machecoul
Saint-Père-en-Retz,Saint-Brévin-les-Pins,4488,"62,72",Droite,"16,21",MACRON,LE PEN,FILLON,MACRON,"64,45",du voilier
Saint-Philbert-de-Grand-Lieu,Saint-Philbert-de-Grand-Lieu,8767,"58,81",Centre,"14,4",MACRON,FILLON,MÉLENCHON,MACRON,"69,35",des vignes
Sainte-Reine-de-Bretagne,Pont-Château,2330,"19,73",Gauche,"17,49",MÉLENCHON,MACRON,LE PEN,MACRON,"64,6",de la vache Nantaise
Saint-Sébastien-sur-Loire,Saint-Sébastien-sur-Loire,26371,"11,66",Centre,"16,35",MACRON,MÉLENCHON,FILLON,MACRON,"84,67",de l'éléphant
Saint-Sulpice-des-Landes,Ancenis,792,"30,78",Droite,"15,28",FILLON,LE PEN,MACRON,MACRON,"58,51",du château d'Ancenis
Saint-Viaud,Saint-Brévin-les-Pins,2407,"32,63",Gauche,"14,79",MÉLENCHON,MACRON,LE PEN,MACRON,"62,44",du voilier
Saint-Vincent-des-Landes,Guéméné-Penfao,1519,"33,7",Droite,"14,51",LE PEN,MACRON,FILLON,MACRON,"64,14",de la vache Nantaise
Sautron,Saint-Herblain,7639,"17,28",Droite,"10,19",FILLON,MACRON,MÉLENCHON,MACRON,"82,53",du bac du Pellerin
Savenay,Blain,8319,26,Centre,"16,55",MACRON,MÉLENCHON,FILLON,MACRON,0,de la centrale à charbon
Sévérac,Pont-Château,1632,"22,41",Centre,"12,77",MACRON,MÉLENCHON,LE PEN,MACRON,"65,52",de la vache Nantaise
Sion-les-Mines,Guéméné-Penfao,1612,"54,71",Droite,"17,84",MACRON,LE PEN,FILLON,MACRON,"64,35",de la vache Nantaise
Les Sorinières,Vertou,8063,"13,02",Centre,"11,85",MACRON,MÉLENCHON,FILLON,MACRON,"78,85",des vignes
Soudan,Châteaubriant,1998,"53,82",Droite,"18,51",MACRON,LE PEN,FILLON,MACRON,"63,87",de la carrière des fusillés
Soulvache,Châteaubriant,356,"11,27",Droite,"19,19",LE PEN,MACRON,MÉLENCHON,MACRON,"51,52",de la carrière des fusillés
Sucé-sur-Erdre,La Chapelle-sur-Erdre,6903,"41,33",Centre,"11,44",MACRON,FILLON,MÉLENCHON,MACRON,"84,35",du parc des Naudières
Teillé,Nort-sur-Erdre,1779,"28,55",Centre,"15,83",MACRON,LE PEN,MÉLENCHON,MACRON,"68,47",de la Nuit de L'Erdre
Le Temple-de-Bretagne,Blain,1889,"1,6",Centre,"11,79",MACRON,MÉLENCHON,LE PEN,MACRON,"68,51",de la centrale à charbon
Thouaré-sur-Loire,Carquefou,9468,"12,76",Centre,"12,01",MACRON,MÉLENCHON,FILLON,MACRON,"82,73",du stade de la Beaujoire
Les Touches,Nort-sur-Erdre,2463,"35,15",Centre,"14,54",MACRON,LE PEN,MÉLENCHON,MACRON,"68,19",de la Nuit de L'Erdre
Touvois,Saint-Philbert-de-Grand-Lieu,1770,"39,21",Droite,"15,54",MACRON,LE PEN,FILLON,MACRON,"63,94",des vignes
Trans-sur-Erdre,Nort-sur-Erdre,1046,"22,56",Droite,"11,96",LE PEN,MACRON,FILLON,MACRON,"64,1",de la Nuit de L'Erdre
Treffieux,Guéméné-Penfao,841,"19,12",Droite,"14,62",LE PEN,MACRON,MÉLENCHON,MACRON,"62,85",de la vache Nantaise
